Provider,inpatient_claim_count,in_sum_amt,in_mean_amt,in_std_amt,in_unique_benes,outpatient_claim_count,out_sum_amt,out_mean_amt,out_std_amt,out_unique_benes,total_claim_count,total_sum_amt,mean_amt_overall,pct_inpatient,unique_beneficiaries,PotentialFraud,_label_raw,_label
PRV51031,28.0,329000.0,11750.0,13164.556792978468,26.0,157.0,30720.0,195.6687898089172,365.13129687220373,135.0,185.0,359720.0,1944.4324324324325,0.15135135135135136,161.0,No,No,legit
PRV51032,0.0,0.0,0.0,0.0,0.0,23.0,5420.0,235.65217391304347,596.2063865273236,21.0,23.0,5420.0,235.65217391304347,0.0,21.0,No,No,legit
PRV51035,1.0,29000.0,29000.0,0.0,1.0,29.0,3560.0,122.75862068965517,162.9832715281834,24.0,30.0,32560.0,1085.3333333333333,0.03333333333333333,25.0,No,No,legit
PRV51036,0.0,0.0,0.0,0.0,0.0,278.0,74880.0,269.3525179856115,579.1512632739048,131.0,278.0,74880.0,269.3525179856115,0.0,131.0,No,No,legit
PRV51037,23.0,214000.0,9304.347826086956,5849.901184936185,21.0,431.0,128230.0,297.51740139211137,579.1863651940712,202.0,454.0,342230.0,753.8105726872246,0.05066079295154185,223.0,Yes,Yes,fraud
PRV51038,30.0,229600.0,7653.333333333333,4210.637869060674,26.0,111.0,35890.0,323.3333333333333,631.6620692244942,83.0,141.0,265490.0,1882.9078014184397,0.2127659574468085,109.0,No,No,legit
PRV51040,9.0,63000.0,7000.0,7681.145747868608,8.0,77.0,11470.0,148.96103896103895,250.15039905279934,62.0,86.0,74470.0,865.9302325581396,0.10465116279069768,70.0,No,No,legit
PRV51041,0.0,0.0,0.0,0.0,0.0,34.0,7410.0,217.94117647058823,562.4232171797465,31.0,34.0,7410.0,217.94117647058823,0.0,31.0,No,No,legit
PRV51042,0.0,0.0,0.0,0.0,0.0,142.0,48050.0,338.38028169014086,625.7915694564421,128.0,142.0,48050.0,338.38028169014086,0.0,128.0,No,No,legit
PRV51043,0.0,0.0,0.0,0.0,0.0,23.0,4480.0,194.7826086956522,297.6402582315741,20.0,23.0,4480.0,194.7826086956522,0.0,20.0,No,No,legit
PRV51044,0.0,0.0,0.0,0.0,0.0,59.0,21330.0,361.52542372881356,633.149798583193,39.0,59.0,21330.0,361.52542372881356,0.0,39.0,No,No,legit
PRV51045,0.0,0.0,0.0,0.0,0.0,31.0,8390.0,270.64516129032256,602.7212483609703,29.0,31.0,8390.0,270.64516129032256,0.0,29.0,No,No,legit
PRV51046,8.0,101000.0,12625.0,11160.357137142675,7.0,30.0,8370.0,279.0,468.2273983351723,19.0,38.0,109370.0,2878.157894736842,0.21052631578947367,26.0,No,No,legit
PRV51047,0.0,0.0,0.0,0.0,0.0,11.0,2530.0,230.0,371.80640123591206,11.0,11.0,2530.0,230.0,0.0,11.0,No,No,legit
PRV51048,4.0,19000.0,4750.0,1707.825127659933,4.0,34.0,8700.0,255.88235294117646,569.822501055765,30.0,38.0,27700.0,728.9473684210526,0.10526315789473684,34.0,No,No,legit
PRV51049,0.0,0.0,0.0,0.0,0.0,71.0,21720.0,305.9154929577465,644.0465321804644,65.0,71.0,21720.0,305.9154929577465,0.0,65.0,No,No,legit
PRV51052,2.0,14000.0,7000.0,2828.42712474619,2.0,44.0,16800.0,381.8181818181818,710.726037976014,36.0,46.0,30800.0,669.5652173913044,0.043478260869565216,38.0,Yes,Yes,fraud
PRV51053,1.0,8000.0,8000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8000.0,8000.0,1.0,1.0,No,No,legit
PRV51054,0.0,0.0,0.0,0.0,0.0,57.0,15130.0,265.43859649122805,417.09056131834507,40.0,57.0,15130.0,265.43859649122805,0.0,40.0,No,No,legit
PRV51055,2.0,16700.0,8350.0,10818.733752154178,2.0,20.0,4940.0,247.0,549.3546453028221,20.0,22.0,21640.0,983.6363636363636,0.09090909090909091,22.0,No,No,legit
PRV51056,2.0,8000.0,4000.0,1414.213562373095,2.0,20.0,6700.0,335.0,666.0369833259222,19.0,22.0,14700.0,668.1818181818181,0.09090909090909091,21.0,No,No,legit
PRV51057,0.0,0.0,0.0,0.0,0.0,5.0,6830.0,1366.0,1273.8838251583227,4.0,5.0,6830.0,1366.0,0.0,4.0,No,No,legit
PRV51058,5.0,91000.0,18200.0,22129.166274399042,5.0,78.0,16030.0,205.51282051282053,375.3739172552853,71.0,83.0,107030.0,1289.5180722891566,0.060240963855421686,76.0,No,No,legit
PRV51059,25.0,401000.0,16040.0,16539.04471243729,23.0,71.0,20060.0,282.53521126760563,538.3751169952022,60.0,96.0,421060.0,4386.041666666667,0.2604166666666667,83.0,Yes,Yes,fraud
PRV51060,5.0,35000.0,7000.0,4301.162633521313,5.0,37.0,8710.0,235.40540540540542,274.0802254267351,37.0,42.0,43710.0,1040.7142857142858,0.11904761904761904,42.0,No,No,legit
PRV51061,1.0,3000.0,3000.0,0.0,1.0,144.0,51940.0,360.69444444444446,820.8921062105845,66.0,145.0,54940.0,378.8965517241379,0.006896551724137931,67.0,No,No,legit
PRV51062,3.0,45000.0,15000.0,10535.653752852739,3.0,394.0,108380.0,275.0761421319797,560.6681031795838,164.0,397.0,153380.0,386.3476070528967,0.007556675062972292,167.0,No,No,legit
PRV51063,0.0,0.0,0.0,0.0,0.0,149.0,51110.0,343.02013422818794,649.1935794860635,115.0,149.0,51110.0,343.02013422818794,0.0,115.0,No,No,legit
PRV51064,36.0,280000.0,7777.777777777777,7187.732052844767,34.0,267.0,80320.0,300.8239700374532,539.7222159599519,198.0,303.0,360320.0,1189.1749174917493,0.1188118811881188,232.0,Yes,Yes,fraud
PRV51065,10.0,75000.0,7500.0,2915.4759474226503,10.0,18.0,1570.0,87.22222222222223,89.62704132095243,16.0,28.0,76570.0,2734.6428571428573,0.35714285714285715,26.0,No,No,legit
PRV51066,2.0,19000.0,9500.0,7778.174593052023,2.0,22.0,5790.0,263.1818181818182,502.1893625358426,19.0,24.0,24790.0,1032.9166666666667,0.08333333333333333,21.0,No,No,legit
PRV51067,12.0,326000.0,27166.666666666668,23241.159935586587,11.0,46.0,8520.0,185.2173913043478,390.42278582431794,39.0,58.0,334520.0,5767.586206896552,0.20689655172413793,50.0,Yes,Yes,fraud
PRV51068,9.0,77000.0,8555.555555555555,5126.185499743233,9.0,252.0,66260.0,262.93650793650795,514.6732494715665,206.0,261.0,143260.0,548.8888888888889,0.034482758620689655,215.0,No,No,legit
PRV51070,10.0,101000.0,10100.0,5952.590472502987,10.0,89.0,24410.0,274.2696629213483,593.8183216968297,61.0,99.0,125410.0,1266.7676767676767,0.10101010101010101,71.0,No,No,legit
PRV51071,0.0,0.0,0.0,0.0,0.0,24.0,8550.0,356.25,728.391990142909,24.0,24.0,8550.0,356.25,0.0,24.0,No,No,legit
PRV51072,12.0,72000.0,6000.0,3741.657386773941,12.0,200.0,47170.0,235.85,463.15856548693955,150.0,212.0,119170.0,562.122641509434,0.05660377358490566,162.0,No,No,legit
PRV51074,5.0,31000.0,6200.0,5215.361924162119,5.0,34.0,10170.0,299.11764705882354,513.9058258678944,34.0,39.0,41170.0,1055.6410256410256,0.1282051282051282,39.0,No,No,legit
PRV51075,0.0,0.0,0.0,0.0,0.0,17.0,8550.0,502.94117647058823,765.4881180159032,13.0,17.0,8550.0,502.94117647058823,0.0,13.0,No,No,legit
PRV51076,0.0,0.0,0.0,0.0,0.0,29.0,10230.0,352.7586206896552,853.5467873682151,27.0,29.0,10230.0,352.7586206896552,0.0,27.0,No,No,legit
PRV51077,16.0,199000.0,12437.5,13559.590701787425,13.0,17.0,5350.0,314.70588235294116,632.3282142908344,17.0,33.0,204350.0,6192.424242424242,0.48484848484848486,30.0,Yes,Yes,fraud
PRV51078,9.0,76000.0,8444.444444444445,4772.607021092118,9.0,14.0,2270.0,162.14285714285714,219.30584794996903,14.0,23.0,78270.0,3403.0434782608695,0.391304347826087,23.0,No,No,legit
PRV51081,6.0,79000.0,13166.666666666666,17279.081765726634,6.0,194.0,45080.0,232.37113402061857,485.090180592759,125.0,200.0,124080.0,620.4,0.03,131.0,No,No,legit
PRV51082,0.0,0.0,0.0,0.0,0.0,34.0,5470.0,160.88235294117646,237.41496272903532,31.0,34.0,5470.0,160.88235294117646,0.0,31.0,No,No,legit
PRV51083,0.0,0.0,0.0,0.0,0.0,90.0,18100.0,201.11111111111111,512.3210993741329,81.0,90.0,18100.0,201.11111111111111,0.0,81.0,No,No,legit
PRV51084,20.0,191000.0,9550.0,11311.26592570899,19.0,90.0,24580.0,273.1111111111111,571.5180739608503,67.0,110.0,215580.0,1959.8181818181818,0.18181818181818182,86.0,Yes,Yes,fraud
PRV51086,31.0,413000.0,13322.58064516129,12765.545024986057,30.0,108.0,33170.0,307.1296296296296,623.4214471736782,86.0,139.0,446170.0,3209.856115107914,0.22302158273381295,116.0,No,No,legit
PRV51089,18.0,177000.0,9833.333333333334,10251.25530333323,18.0,210.0,53900.0,256.6666666666667,538.152371063864,179.0,228.0,230900.0,1012.719298245614,0.07894736842105263,197.0,No,No,legit
PRV51090,0.0,0.0,0.0,0.0,0.0,7.0,5830.0,832.8571428571429,1303.798479900355,7.0,7.0,5830.0,832.8571428571429,0.0,7.0,No,No,legit
PRV51091,0.0,0.0,0.0,0.0,0.0,44.0,9270.0,210.6818181818182,451.69138325658287,44.0,44.0,9270.0,210.6818181818182,0.0,44.0,No,No,legit
PRV51093,2.0,11000.0,5500.0,7778.174593052023,2.0,7.0,2710.0,387.14285714285717,760.6732606867482,7.0,9.0,13710.0,1523.3333333333333,0.2222222222222222,9.0,No,No,legit
PRV51096,0.0,0.0,0.0,0.0,0.0,5.0,3200.0,640.0,826.4381404557754,5.0,5.0,3200.0,640.0,0.0,5.0,No,No,legit
PRV51097,0.0,0.0,0.0,0.0,0.0,125.0,44420.0,355.36,751.1727862740433,71.0,125.0,44420.0,355.36,0.0,71.0,No,No,legit
PRV51098,0.0,0.0,0.0,0.0,0.0,4.0,300.0,75.0,85.04900548115383,4.0,4.0,300.0,75.0,0.0,4.0,No,No,legit
PRV51100,5.0,78000.0,15600.0,11436.782764396638,5.0,0.0,0.0,0.0,0.0,0.0,5.0,78000.0,15600.0,1.0,5.0,No,No,legit
PRV51101,3.0,16600.0,5533.333333333333,6576.726642740547,3.0,0.0,0.0,0.0,0.0,0.0,3.0,16600.0,5533.333333333333,1.0,3.0,No,No,legit
PRV51102,12.0,148000.0,12333.333333333334,12017.663767315278,11.0,0.0,0.0,0.0,0.0,0.0,12.0,148000.0,12333.333333333334,1.0,11.0,No,No,legit
PRV51103,0.0,0.0,0.0,0.0,0.0,6.0,440.0,73.33333333333333,71.46094504459528,4.0,6.0,440.0,73.33333333333333,0.0,4.0,Yes,Yes,fraud
PRV51104,0.0,0.0,0.0,0.0,0.0,12.0,1900.0,158.33333333333334,202.83595401807898,9.0,12.0,1900.0,158.33333333333334,0.0,9.0,No,No,legit
PRV51105,0.0,0.0,0.0,0.0,0.0,12.0,6540.0,545.0,767.4455858708989,12.0,12.0,6540.0,545.0,0.0,12.0,No,No,legit
PRV51108,19.0,156000.0,8210.526315789473,5633.027086038801,19.0,0.0,0.0,0.0,0.0,0.0,19.0,156000.0,8210.526315789473,1.0,19.0,No,No,legit
PRV51109,3.0,18000.0,6000.0,2645.7513110645905,3.0,0.0,0.0,0.0,0.0,0.0,3.0,18000.0,6000.0,1.0,3.0,No,No,legit
PRV51110,5.0,27000.0,5400.0,2509.980079602227,5.0,0.0,0.0,0.0,0.0,0.0,5.0,27000.0,5400.0,1.0,5.0,No,No,legit
PRV51111,0.0,0.0,0.0,0.0,0.0,132.0,54860.0,415.6060606060606,886.0584799473751,85.0,132.0,54860.0,415.6060606060606,0.0,85.0,No,No,legit
PRV51112,0.0,0.0,0.0,0.0,0.0,304.0,105250.0,346.2171052631579,655.4920296194023,195.0,304.0,105250.0,346.2171052631579,0.0,195.0,No,No,legit
PRV51113,0.0,0.0,0.0,0.0,0.0,132.0,46390.0,351.43939393939394,712.566731923337,78.0,132.0,46390.0,351.43939393939394,0.0,78.0,No,No,legit
PRV51114,0.0,0.0,0.0,0.0,0.0,262.0,76720.0,292.82442748091603,708.7145287296077,160.0,262.0,76720.0,292.82442748091603,0.0,160.0,No,No,legit
PRV51115,0.0,0.0,0.0,0.0,0.0,7.0,980.0,140.0,203.9607805437114,6.0,7.0,980.0,140.0,0.0,6.0,No,No,legit
PRV51117,0.0,0.0,0.0,0.0,0.0,12.0,1950.0,162.5,390.8527972151524,10.0,12.0,1950.0,162.5,0.0,10.0,No,No,legit
PRV51118,16.0,136000.0,8500.0,5738.757124441959,16.0,0.0,0.0,0.0,0.0,0.0,16.0,136000.0,8500.0,1.0,16.0,No,No,legit
PRV51119,94.0,985000.0,10478.72340425532,13905.772548863895,81.0,1.0,95580.0,95580.0,0.0,1.0,95.0,1080580.0,11374.526315789473,0.9894736842105263,82.0,Yes,Yes,fraud
PRV51120,7.0,52000.0,7428.571428571428,4649.628761422531,7.0,0.0,0.0,0.0,0.0,0.0,7.0,52000.0,7428.571428571428,1.0,7.0,No,No,legit
PRV51121,6.0,81000.0,13500.0,16404.26773739078,6.0,1.0,80.0,80.0,0.0,1.0,7.0,81080.0,11582.857142857143,0.8571428571428571,7.0,No,No,legit
PRV51122,0.0,0.0,0.0,0.0,0.0,7.0,1120.0,160.0,200.91457554559517,7.0,7.0,1120.0,160.0,0.0,7.0,No,No,legit
PRV51123,2.0,9000.0,4500.0,707.1067811865476,2.0,29.0,17910.0,617.5862068965517,913.9422268878213,28.0,31.0,26910.0,868.0645161290323,0.06451612903225806,30.0,No,No,legit
PRV51125,12.0,110000.0,9166.666666666666,8122.173167921069,12.0,36.0,21310.0,591.9444444444445,934.1453525455981,20.0,48.0,131310.0,2735.625,0.25,32.0,No,No,legit
PRV51126,20.0,177000.0,8850.0,6200.806399170997,14.0,0.0,0.0,0.0,0.0,0.0,20.0,177000.0,8850.0,1.0,14.0,Yes,Yes,fraud
PRV51128,5.0,90000.0,18000.0,10295.630140987001,3.0,45.0,12220.0,271.55555555555554,551.5637091511054,37.0,50.0,102220.0,2044.4,0.1,40.0,No,No,legit
PRV51129,0.0,0.0,0.0,0.0,0.0,96.0,22920.0,238.75,364.57401241217923,65.0,96.0,22920.0,238.75,0.0,65.0,No,No,legit
PRV51130,0.0,0.0,0.0,0.0,0.0,7.0,4970.0,710.0,1110.8555261599054,7.0,7.0,4970.0,710.0,0.0,7.0,No,No,legit
PRV51131,0.0,0.0,0.0,0.0,0.0,8.0,1160.0,145.0,272.81600288210996,8.0,8.0,1160.0,145.0,0.0,8.0,No,No,legit
PRV51132,1.0,4000.0,4000.0,0.0,1.0,7.0,1330.0,190.0,303.5347316755256,5.0,8.0,5330.0,666.25,0.125,6.0,No,No,legit
PRV51134,0.0,0.0,0.0,0.0,0.0,15.0,7610.0,507.3333333333333,862.0363488082546,12.0,15.0,7610.0,507.3333333333333,0.0,12.0,No,No,legit
PRV51135,0.0,0.0,0.0,0.0,0.0,5.0,300.0,60.0,25.495097567963924,2.0,5.0,300.0,60.0,0.0,2.0,No,No,legit
PRV51136,1.0,20000.0,20000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,20000.0,20000.0,1.0,1.0,No,No,legit
PRV51137,1.0,6000.0,6000.0,0.0,1.0,54.0,10050.0,186.11111111111111,478.20188626265093,50.0,55.0,16050.0,291.8181818181818,0.01818181818181818,51.0,No,No,legit
PRV51138,1.0,6000.0,6000.0,0.0,1.0,25.0,7430.0,297.2,730.9669395168747,20.0,26.0,13430.0,516.5384615384615,0.038461538461538464,21.0,No,No,legit
PRV51139,7.0,41300.0,5900.0,3911.947511576981,7.0,36.0,11280.0,313.3333333333333,611.391854705311,35.0,43.0,52580.0,1222.7906976744187,0.16279069767441862,42.0,No,No,legit
PRV51140,47.0,307400.0,6540.425531914893,4119.500791541113,45.0,440.0,145730.0,331.20454545454544,777.2908116669353,363.0,487.0,453130.0,930.4517453798768,0.09650924024640657,408.0,No,No,legit
PRV51141,0.0,0.0,0.0,0.0,0.0,71.0,19490.0,274.50704225352115,409.52512126815634,37.0,71.0,19490.0,274.50704225352115,0.0,37.0,No,No,legit
PRV51142,7.0,97000.0,13857.142857142857,19701.341506173052,5.0,44.0,7570.0,172.04545454545453,303.71788887941716,35.0,51.0,104570.0,2050.392156862745,0.13725490196078433,40.0,No,No,legit
PRV51143,0.0,0.0,0.0,0.0,0.0,77.0,20450.0,265.5844155844156,515.6944564230928,68.0,77.0,20450.0,265.5844155844156,0.0,68.0,No,No,legit
PRV51144,4.0,53000.0,13250.0,13475.286020464773,4.0,26.0,8220.0,316.15384615384613,566.4703128890475,25.0,30.0,61220.0,2040.6666666666667,0.13333333333333333,29.0,No,No,legit
PRV51145,161.0,1600600.0,9941.614906832297,8862.015565083171,125.0,41.0,5750.0,140.2439024390244,208.1404310180755,39.0,202.0,1606350.0,7952.227722772277,0.7970297029702971,164.0,Yes,Yes,fraud
PRV51146,162.0,1618200.0,9988.888888888889,9909.534902687294,157.0,190.0,62710.0,330.05263157894734,655.408509767441,177.0,352.0,1680910.0,4775.3125,0.4602272727272727,334.0,Yes,Yes,fraud
PRV51147,0.0,0.0,0.0,0.0,0.0,32.0,8860.0,276.875,691.7319894014519,32.0,32.0,8860.0,276.875,0.0,32.0,No,No,legit
PRV51148,34.0,398400.0,11717.64705882353,9772.951869076922,33.0,296.0,90260.0,304.93243243243245,568.3571288614427,230.0,330.0,488660.0,1480.7878787878788,0.10303030303030303,263.0,Yes,Yes,fraud
PRV51149,116.0,1113000.0,9594.827586206897,8857.302021521551,108.0,32.0,7680.0,240.0,543.2221668715712,28.0,148.0,1120680.0,7572.1621621621625,0.7837837837837838,136.0,Yes,Yes,fraud
PRV51151,22.0,142000.0,6454.545454545455,4067.610422035835,22.0,211.0,59300.0,281.042654028436,584.13456789516,203.0,233.0,201300.0,863.9484978540772,0.0944206008583691,225.0,No,No,legit
PRV51152,0.0,0.0,0.0,0.0,0.0,83.0,25770.0,310.48192771084337,645.3395846741914,39.0,83.0,25770.0,310.48192771084337,0.0,39.0,No,No,legit
PRV51153,4.0,51000.0,12750.0,14314.910641239318,4.0,83.0,20490.0,246.86746987951807,469.6935371142923,79.0,87.0,71490.0,821.7241379310345,0.04597701149425287,83.0,No,No,legit
PRV51154,0.0,0.0,0.0,0.0,0.0,161.0,45750.0,284.16149068322983,796.7085092791241,147.0,161.0,45750.0,284.16149068322983,0.0,147.0,No,No,legit
PRV51155,0.0,0.0,0.0,0.0,0.0,115.0,26330.0,228.95652173913044,483.3098129420105,110.0,115.0,26330.0,228.95652173913044,0.0,110.0,No,No,legit
PRV51156,0.0,0.0,0.0,0.0,0.0,542.0,140640.0,259.48339483394835,533.4428603946388,425.0,542.0,140640.0,259.48339483394835,0.0,425.0,No,No,legit
PRV51159,65.0,635660.0,9779.384615384615,8873.239240287878,60.0,504.0,162130.0,321.68650793650795,783.3380001009112,448.0,569.0,797790.0,1402.091388400703,0.11423550087873462,508.0,Yes,Yes,fraud
PRV51160,90.0,866000.0,9622.222222222223,9706.453057698182,87.0,24.0,6020.0,250.83333333333334,571.8993273118182,24.0,114.0,872020.0,7649.298245614035,0.7894736842105263,111.0,No,No,legit
PRV51164,41.0,443000.0,10804.878048780487,9505.83902713254,40.0,350.0,113980.0,325.65714285714284,612.1917945276155,298.0,391.0,556980.0,1424.5012787723786,0.10485933503836317,338.0,No,No,legit
PRV51165,26.0,306000.0,11769.23076923077,13063.866785321083,26.0,72.0,23700.0,329.1666666666667,615.1165010460661,71.0,98.0,329700.0,3364.285714285714,0.2653061224489796,97.0,No,No,legit
PRV51166,1.0,22000.0,22000.0,0.0,1.0,4.0,2870.0,717.5,1321.8011701210335,4.0,5.0,24870.0,4974.0,0.2,5.0,No,No,legit
PRV51167,0.0,0.0,0.0,0.0,0.0,190.0,51980.0,273.57894736842104,546.3295820773889,182.0,190.0,51980.0,273.57894736842104,0.0,182.0,No,No,legit
PRV51168,9.0,63000.0,7000.0,7000.0,9.0,78.0,17470.0,223.97435897435898,537.757101889599,77.0,87.0,80470.0,924.9425287356322,0.10344827586206896,86.0,No,No,legit
PRV51169,0.0,0.0,0.0,0.0,0.0,77.0,19380.0,251.6883116883117,512.5385803126962,74.0,77.0,19380.0,251.6883116883117,0.0,74.0,No,No,legit
PRV51170,8.0,145000.0,18125.0,19628.24131558549,8.0,8.0,820.0,102.5,100.95968077830447,8.0,16.0,145820.0,9113.75,0.5,16.0,Yes,Yes,fraud
PRV51171,0.0,0.0,0.0,0.0,0.0,59.0,13820.0,234.23728813559322,505.2114729286399,59.0,59.0,13820.0,234.23728813559322,0.0,59.0,No,No,legit
PRV51173,7.0,90000.0,12857.142857142857,9172.941575244942,7.0,15.0,6290.0,419.3333333333333,954.3918532362949,14.0,22.0,96290.0,4376.818181818182,0.3181818181818182,21.0,Yes,Yes,fraud
PRV51175,0.0,0.0,0.0,0.0,0.0,41.0,9650.0,235.3658536585366,417.4691459316221,39.0,41.0,9650.0,235.3658536585366,0.0,39.0,No,No,legit
PRV51176,0.0,0.0,0.0,0.0,0.0,445.0,145980.0,328.0449438202247,703.2620247482307,399.0,445.0,145980.0,328.0449438202247,0.0,399.0,No,No,legit
PRV51178,34.0,422000.0,12411.764705882353,10348.81825213325,33.0,31.0,9180.0,296.1290322580645,359.51520523574374,31.0,65.0,431180.0,6633.538461538462,0.5230769230769231,64.0,Yes,Yes,fraud
PRV51179,0.0,0.0,0.0,0.0,0.0,26.0,5000.0,192.30769230769232,310.19100815217314,26.0,26.0,5000.0,192.30769230769232,0.0,26.0,No,No,legit
PRV51180,2.0,47000.0,23500.0,24748.737341529162,2.0,127.0,47240.0,371.9685039370079,705.056610774589,84.0,129.0,94240.0,730.5426356589147,0.015503875968992248,86.0,No,No,legit
PRV51181,0.0,0.0,0.0,0.0,0.0,10.0,2150.0,215.0,275.8522148623143,10.0,10.0,2150.0,215.0,0.0,10.0,No,No,legit
PRV51183,41.0,336800.0,8214.634146341463,9372.768026992073,41.0,72.0,18990.0,263.75,537.2476479346072,65.0,113.0,355790.0,3148.5840707964603,0.36283185840707965,106.0,No,No,legit
PRV51185,0.0,0.0,0.0,0.0,0.0,8.0,1590.0,198.75,191.045058260386,8.0,8.0,1590.0,198.75,0.0,8.0,No,No,legit
PRV51186,0.0,0.0,0.0,0.0,0.0,2.0,100.0,50.0,0.0,2.0,2.0,100.0,50.0,0.0,2.0,No,No,legit
PRV51189,0.0,0.0,0.0,0.0,0.0,56.0,8740.0,156.07142857142858,254.49899854368832,51.0,56.0,8740.0,156.07142857142858,0.0,51.0,No,No,legit
PRV51190,3.0,24000.0,8000.0,6244.9979983983985,3.0,63.0,15310.0,243.015873015873,477.2726106799697,61.0,66.0,39310.0,595.6060606060606,0.045454545454545456,64.0,No,No,legit
PRV51191,0.0,0.0,0.0,0.0,0.0,32.0,10990.0,343.4375,644.463314479325,30.0,32.0,10990.0,343.4375,0.0,30.0,No,No,legit
PRV51194,2.0,18000.0,9000.0,7071.067811865475,2.0,7.0,540.0,77.14285714285714,62.640318675829896,7.0,9.0,18540.0,2060.0,0.2222222222222222,9.0,No,No,legit
PRV51196,0.0,0.0,0.0,0.0,0.0,720.0,197060.0,273.69444444444446,600.1747227956727,432.0,720.0,197060.0,273.69444444444446,0.0,432.0,No,No,legit
PRV51198,0.0,0.0,0.0,0.0,0.0,6.0,360.0,60.0,37.416573867739416,3.0,6.0,360.0,60.0,0.0,3.0,No,No,legit
